2019-11-17-22:40:34 ,22.270000
2019-11-17-22:40:44 ,22.260000
2019-11-17-22:40:54 ,22.280000
2019-11-17-22:41:04 ,22.270000
2019-11-17-22:41:14 ,22.270000
2019-11-17-22:41:24 ,22.270000
2019-11-17-22:41:34 ,22.270000
2019-11-17-22:41:44 ,22.260000
2019-11-17-22:41:54 ,22.260000
2019-11-17-22:42:04 ,22.280000
2019-11-17-22:42:14 ,22.270000
2019-11-17-22:42:24 ,22.280000
2019-11-17-22:42:34 ,22.280000
2019-11-17-22:42:44 ,22.280000
2019-11-17-22:42:54 ,22.280000
2019-11-17-22:43:04 ,22.270000
2019-11-17-22:43:14 ,22.260000
2019-11-17-22:43:24 ,22.280000
2019-11-17-22:43:34 ,22.280000
2019-11-17-22:43:44 ,22.260000
2019-11-17-22:43:54 ,22.270000
2019-11-17-22:44:04 ,22.270000
2019-11-17-22:44:14 ,22.260000
2019-11-17-22:44:24 ,22.260000
2019-11-17-22:44:34 ,22.280000
2019-11-17-22:44:44 ,22.270000
2019-11-17-22:44:54 ,22.270000
2019-11-17-22:45:04 ,22.260000
2019-11-17-22:45:14 ,22.280000
2019-11-17-22:45:24 ,22.260000
2019-11-17-22:45:34 ,22.270000
2019-11-17-22:45:44 ,22.280000
